"Sequence","Images","PTS","MatchingPairs"
"001","3147","1574","1573"
"002","3901","1951","1950"
"003","3675","1838","1837"
"004","1797","899","898"
"007","3655","1828","1827"
"009","3643","1822","1821"
"010","3715","1858","1857"
"011","2799","1400","1399"
"013","2311","1156","1155"
"015","3469","1735","1734"
"016","4221","2111","2110"
"017","3539","1770","1769"
"018","2091","330","330"
"019","0","0","0"
"020","0","0","0"
"022","0","0","0"
"025","0","0","0"
"027","0","0","0"
"028","0","0","0"
"029","0","0","0"
"031","0","0","0"
"033","0","0","0"
"034","0","0","0"
"035","0","0","0"
"037","0","0","0"
"039","0","0","0"
"041","0","0","0"
"043","0","0","0"
"044","0","0","0"
"046","0","0","0"
"047","0","0","0"
"048","0","0","0"
"049","0","0","0"
"053","0","0","0"
"057","0","0","0"
"059","0","0","0"
"112","0","0","0"
"113","0","0","0"
"114","0","0","0"
"115","0","0","0"
"119","0","0","0"
"120","0","0","0"
"123","0","0","0"
"124","0","0","0"
"125","0","0","0"
"126","0","0","0"
"138","0","0","0"
"143","0","0","0"
"144","0","0","0"
"150","0","0","0"
"158","0","0","0"
"160","0","0","0"
"203","0","0","0"
"204","0","0","0"
"205","0","0","0"
"208","0","0","0"
"211","0","0","0"
"212","0","0","0"
"213","0","0","0"
"214","0","0","0"
"218","0","0","0"
"223","0","0","0"
"224","0","0","0"
"225","0","0","0"
"401","0","0","0"
"402","0","0","0"
"403","0","0","0"
"404","0","0","0"
"405","0","0","0"
"406","0","0","0"
"407","0","0","0"
"408","0","0","0"
"409","0","0","0"
"410","0","0","0"
"411","0","0","0"
"412","0","0","0"
"505","0","1365","0"
"506","0","1797","0"
"507","0","2467","0"
"508","0","3184","0"
"509","0","1918","0"
"510","0","2581","0"
"511","0","2324","0"
"514","0","1455","0"
"515","0","1735","0"
"516","1290","1290","1290"
"517","2426","2426","2426"
"518","0","2218","0"
"519","0","1725","0"
"520","0","649","0"
"521","0","867","0"
"522","0","2317","0"
"524","0","2743","0"
"525","0","2430","0"
"526","2798","2798","2798"
"528","2279","2279","2279"
"529","3015","3015","3015"
"530","2437","2437","2437"
"531","1895","1895","1895"
"533","1521","1521","1521"
"537","0","2189","0"
"538","0","2163","0"
"540","0","980","0"
"541","0","1111","0"
"546","0","1993","0"
"547","0","1346","0"
"548","0","1524","0"
"550","0","1561","0"
"551","0","1054","0"
"553","0","1624","0"
"557","1754","1754","1754"
"558","2095","2095","2095"
"559","2041","2041","2041"
"562","1367","1367","1367"
